year,INR,PKR
1947,4.16,3.31
1948,3.31,3.31
1949,3.67,3.31
1950,4.76,3.31
1951,4.76,3.31
1952,4.76,3.31
1953,4.76,3.31
1954,4.76,3.31
1955,4.76,3.31
1956,4.76,3.91
1957,4.76,4.76
1958,4.76,4.76
1959,4.76,4.76
1960,4.76,4.76
1961,4.76,4.76
1962,4.76,4.76
1963,4.76,4.76
1964,4.76,4.76
1965,4.76,4.76
1966,6.36,4.76
1967,7.5,4.76
1968,7.5,4.76
1969,7.5,4.76
1970,7.5,4.76
1971,7.49,4.76
1972,7.59,4.76
1973,7.74,4.76
1974,8.1,4.76
1975,8.38,11.01
1976,8.96,9.99
1977,8.74,9.99
1978,8.19,9.99
1979,8.13,9.99
1980,7.86,9.99
1981,8.66,9.99
1982,9.46,9.99
1983,10.1,9.99
1984,11.36,9.99
1985,12.37,11.85
1986,12.61,13.12
1987,12.96,14.05
1988,13.92,15.93
1989,16.23,16.65
1990,17.5,20.54
1991,22.74,21.71
1992,25.92,23.8
1993,30.49,25.08
1994,31.37,28.11
1995,32.43,30.57
1996,35.43,31.64
1997,36.31,36.08
1998,41.26,41.11
1999,43.06,45.05
2000,44.94,51.9
2001,47.19,51.9
2002,48.61,63.5
2003,46.58,60.5
2004,45.32,57.75
2005,44.1,57.8
2006,45.31,59.7
2007,41.35,60.4
2008,43.51,60.83
2009,48.41,81.1
2010,45.73,84.1
2011,46.67,85.75
2012,53.44,88.6
2013,56.57,96.5
2014,62.33,107.2
2015,62.97,103
2016,66.46,105.2
2017,67.79,104.6
2018,70.09,110.01
2019,70.39,163.75
2020,76.38,163.75
2021,74.57,168.88
2022,81.35,179.16
2023,81.94,225.4
2024,83.32,277.94
